# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-11-13 15:39:36 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09421500 COLORADO RV BLW HOOVER DAM, AZ-NV
# -----------------------------------------------------------------------------------
#
# Data provided for site 09421500
#            TS   parameter     statistic     Description
#        102357       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	102357_00060_00003	102357_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09421500	2020-11-13	11500	A
USGS	09421500	2020-11-14	10100	A
USGS	09421500	2020-11-15	12200	A
USGS	09421500	2020-11-16	11700	A
USGS	09421500	2020-11-17	13600	A
USGS	09421500	2020-11-18	13200	A
USGS	09421500	2020-11-19	11500	A
USGS	09421500	2020-11-20	9360	A
USGS	09421500	2020-11-21	9560	A
USGS	09421500	2020-11-22	12500	A
USGS	09421500	2020-11-23	13500	A
USGS	09421500	2020-11-24	12400	A
USGS	09421500	2020-11-25	11300	A
USGS	09421500	2020-11-26	11100	A
USGS	09421500	2020-11-27	10700	A
USGS	09421500	2020-11-28	10800	A
USGS	09421500	2020-11-29	10600	A
USGS	09421500	2020-11-30	6940	A
USGS	09421500	2020-12-01	7740	A
USGS	09421500	2020-12-02	8130	A
USGS	09421500	2020-12-03	7360	A
USGS	09421500	2020-12-04	5450	A
USGS	09421500	2020-12-05	6320	A
USGS	09421500	2020-12-06	8040	A
USGS	09421500	2020-12-07	8320	A
USGS	09421500	2020-12-08	8540	A
USGS	09421500	2020-12-09	8050	A
USGS	09421500	2020-12-10	7940	A
USGS	09421500	2020-12-11	6860	A
USGS	09421500	2020-12-12	8230	A
USGS	09421500	2020-12-13	7230	A
USGS	09421500	2020-12-14	7300	A
USGS	09421500	2020-12-15	7490	A
